col1,col2,col3,col4,col5,col6,col7,col8,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
0.37,1.919,0.009,0.351,323.8,1.689,1.005,0.349,0.678,2466.089,0.486,0.006,,0.654,2.025,0.082,0.765,0.711,1.958
0.007,3.166,0.607,1.761,6986,0.039,0.18,1.453,0,112.209,15.237,0.239,,0.201,0.017,0.409,1.975,4.03,0.01
8.858,0.327,0.533,0.845,459.9,0.172,0.226,0.478,0.197,512.951,0.012,0.196,,1.346,0.003,1.679,0.631,0.568,1.959
0,8.819,0.461,2.729,594.7,0.991,6.095,1.472,0.566,154.482,10.692,0.083,,0.001,0.611,2.42,0.141,0,2.846
0.142,0.039,0.701,1.407,3247.5,0.002,0.016,0.023,0.899,22.584,3.16,0.625,,1.125,3.339,0.185,0.23,2.575,0.109
1.187,0.99,0.085,0.52,990.2,0.103,0.031,0.459,0.327,675.16,0,0.002,,0.866,0.565,0.083,0.259,1.305,0.915
0.083,0.79,0.112,0.001,832.8,0.229,0.071,0.769,2.681,272.693,0.002,0.123,,0.326,0.792,0.011,0.044,1.087,0.475
2.835,0,0.854,1.088,2404.1,3.126,3.531,1.225,0.949,0.771,1.901,0.835,,0.001,3.963,2.464,0.076,2.019,1.29
0.005,0.053,0.098,4.733,177.8,0.483,1.133,0.15,0.266,690.826,0.031,0.069,,0.011,0.936,3.733,0.393,0.193,0.506
0.097,0.364,0.228,2.394,2724.4,0.501,2.253,1.319,0.063,3243.746,3.984,0.41,,0.955,0.335,0.207,0.139,1.881,1.504
5.633,0.083,1.197,0.023,2153.9,0.089,2.766,0.006,1.918,146.922,2.429,0.007,,0.052,0.044,0.354,0.117,1.632,7.701
0.003,0.338,0.578,5.323,469.5,0.309,4.553,0.29,0.419,277.149,0.011,0.448,,2.751,0.116,0.6,0.194,0.582,2.731
35.819,0.675,0.325,0.936,747.7,0.577,0.05,0.001,0.098,165.613,0.003,2.112,,1.997,0.507,0.247,0.047,0.966,0.036
0.896,0.009,0.064,4.905,100.3,2.051,2.605,5.339,0.499,3198.821,0.04,1.052,,0.842,0.997,0.985,0.055,0.097,0.939
6.655,0.225,0.276,0.002,16583.9,0.358,0.409,1.338,1.805,0,10.356,0.818,,3.692,0.443,0.393,4.745,14.745,0.221
0.047,18.443,2.747,1.016,4031.8,2.476,0.555,2.283,1.102,103.71,30.52,1.158,,0.24,0.023,0.574,0.273,0.708,0.234
4.477,3.586,2.68,0,1010.8,1.078,0.037,0.332,0.457,2471.97,6.467,0.02,,0.017,2.683,0.97,1.525,0.231,0.43
0.026,1.096,0.771,0.337,1125.7,1.317,0.179,3.164,0.037,333.586,0.001,2.225,,0.151,0.833,0.02,2.527,1.476,1.028
0,0.462,4.557,0.025,2345.2,0.781,0,0.123,0.027,5.024,3.828,0.906,,0.048,1.396,0.085,0.012,1.549,0.492
1.403,2.984,0.01,2.263,2385.8,0.043,0.285,3.82,0.424,62.167,8.29,0.5,,0.008,0.047,0.611,0.92,1.027,0.431
0.631,2.941,0.602,0.282,2370.7,0.003,0,0.05,0.05,8.367,0.014,0.77,,1.613,0.716,0.436,0.739,3.271,0.188
0,0.126,0.711,1.047,264.4,0.501,0.039,0,0.205,45.869,0.022,0.333,,0.474,0.726,1.938,0.113,0.306,0.164
1.672,1.01,2.734,3.671,1009.1,0.721,2.042,2.809,0.263,159.019,0,0.375,,2.911,1.079,0.004,1.274,1.331,5.651
0.213,0.248,0,0.459,392.7,2.043,0.756,0.25,1.788,67.74,0.016,0.238,,0.478,0.38,0.45,2.801,0.476,0.847
6.175,1.472,0.292,0.481,1451.2,0.347,2.18,0.91,0.053,114.047,0,0.001,,0.149,0.085,2.21,4.08,1.919,2.488
14.967,4.856,0.079,0.046,475.2,3.536,4.567,0.811,2.386,1818.74,1.694,0.885,,0.026,0.256,0.28,0.328,1.307,0.951
0,0.364,0.111,0.021,2359.5,0.813,0.038,0.344,0.669,1792.889,0.713,0.164,,0.088,0.683,0.836,0.8,2.393,0.016
0.318,4,0.061,1.785,5619.9,0.132,0.085,1.104,1.509,211.019,14.842,0,,1.186,0.035,0.539,2.23,2.912,0.033
0.022,3.25,0.162,0.025,366.9,0.07,0.502,0.079,0.291,3880.403,1.056,7.794,,0.004,1.151,0.706,0.203,0.948,0.143
2.432,2.862,0.134,0.365,655.8,0.015,0.769,0.778,0.227,4304.46,0.561,0.004,,0.736,0.111,0.093,0.155,1.288,0
0.766,0.864,1.225,0.043,895.7,0.034,4.272,0.357,0,5486.608,0.001,0.067,,0.208,4.336,1.933,0.212,1.172,0.053
18.701,1.275,1.778,0.027,1783.9,2.269,0.125,4.531,0.062,0.328,4.721,0.402,,0.84,0.108,0.949,0.011,0.923,2.998
0.306,0.666,0.182,0.047,2287.4,0,0.168,1.19,0.764,596.272,0.408,0.765,,0.891,0.331,1.061,0.008,2.48,1.196
3.648,3.875,0.165,1.193,2948.7,2.811,0.079,0.154,0.223,133.82,10.514,4.41,,0.15,0.11,1.084,0.557,1.244,0
5.476,7.822,0.052,0.334,1125.3,1.715,0.439,1.851,0.801,1267.088,2.209,2.713,,0.103,1.112,0.312,1.515,2.629,1.66
0.275,2.193,1.043,0.002,916.5,0.027,0.006,0.309,0.011,1869.401,4.585,0.24,,0.635,0.363,2.83,1.07,0.284,0.066
1.208,0.038,0.425,0.327,2114.5,0.747,1.86,0.348,1.901,8.345,1.268,6.394,,0.693,0.451,4.242,0.22,1.897,2.798
0.011,0.537,0.026,1.59,640,0.6,1.326,0.007,0.113,3909.276,0.006,0.26,,2.719,0.025,2.242,5.168,0.815,0.546
0.264,1.881,3.869,0.405,1645.1,0.366,0.009,0.014,2.173,536.758,0.002,0.055,,0.001,0.682,3.325,0.052,2.23,1.922
0.173,2.757,0.063,0.076,151.6,1.062,1.119,0.01,0.288,1.404,1.203,0.017,,0.414,0.058,1.865,0.119,0.551,0.292
0.076,0.079,0.06,0.036,210.5,1.044,0.237,0.651,0.331,4388.714,0.027,9.873,,0.095,0.104,0.072,0.077,0.236,0.12
8.306,0.667,1.084,0.034,799.6,0.297,0.899,0.033,0,55.918,2.272,4.807,,0.006,0,0.825,0.047,0.396,0.357
0,1.746,2.998,1.028,1880.4,1.142,0.118,2.428,0.111,26.461,0.005,3.25,,0.136,1.394,2.581,1.714,2.443,0.038
0.038,5.841,0.403,4.623,4087.1,0.05,0.018,3.781,0.207,2730.275,15.241,1.585,,0.218,0.121,0.436,0.201,1.664,0.076
0.005,13.098,2.809,0.22,3592.4,0.019,0.825,1.928,1.294,4099.808,23.394,0.035,,0.175,0.195,4.273,0.063,0.801,0.185
0,4.23,0.105,0.195,1710.2,2.434,0.588,0.012,0.156,6934.642,8.728,0.709,,0.432,2.253,0.022,0.008,0.518,0.001
2.204,0.058,0.115,0.815,2.6,0.314,0.201,2.628,0.598,17.541,0.065,0.386,,0.36,1.758,2.256,0.621,0,0.259
3.541,1.197,0.853,1.465,1149.8,0.137,0.107,0.054,1.879,2393.871,0,1.998,,2.122,0.517,0.56,1.533,1.528,0.396
0,0.127,0.001,0.084,264.5,0.195,2.454,0.14,2.708,6.752,0.022,0.037,,0.073,0.022,0.105,0.143,0.307,1.471
0.083,0.1,1.124,2.399,0,0.246,3.994,0.001,1.259,301.463,0.079,1.859,,3.166,0.597,0.542,1.685,0.005,0.472
0.172,0.025,4.577,0.143,2130.8,0.718,1.347,0.177,0.292,256.866,1.353,1.431,,0.475,0.087,0.494,1.351,1.887,0.421
0.124,4.044,0.179,1.468,1100.5,0.048,0.728,0.427,0.198,455.492,0.662,1.491,,0.556,0.317,0.108,0.099,2.039,0.048
2.213,5.379,0.968,0,3971.2,0.011,0.655,0.222,0.259,2377.509,0.058,1.578,,0.943,2.551,1.066,0,5.588,1.041
0.297,0.018,0.557,0.55,199.3,1.154,0.061,0.011,0.883,9.186,0.264,0.06,,2.863,0.459,1.218,0.037,0.143,2.003
0.019,8.37,0.048,3.207,5878.4,0.3,5.451,0.291,0.246,376.922,0.126,0.331,,0.025,1.44,0.286,0.249,8.368,1.099
0.318,1.552,1.519,0.264,32.7,1.125,1.508,2.323,0.843,529.407,0.85,1.386,,0.699,0.005,0.427,0.614,0.207,2.945
0.361,3.16,0.538,8.264,244.4,3.102,0.933,0.002,0.18,348.21,3.946,0.159,,0.515,0.558,2.075,2.171,0.002,0.615
4.849,0.526,0.818,4.248,640.4,0.097,0.005,0,3.188,534.023,1.806,1.816,,2.261,0.031,6.161,0.007,0.319,0.023
0.505,0.084,1.123,0.423,216.2,3.121,1.564,1.625,0.38,1513.449,0.026,0,,0.772,1.448,1.583,1.749,0.243,0.288
1.524,0.065,2.424,1.07,99.3,2.864,6.23,2.794,1.249,2786.599,0.253,0.133,,0.033,1.237,1.808,0.195,0.053,0.02
0.151,3.747,0.031,0.192,1023.2,0.001,0.031,0.456,0.47,3981.335,0.611,0.886,,0.281,0.489,0.603,0.18,1.894,1.367
0.242,1.779,0.199,0.192,674.8,3.219,2.293,0.451,0.097,2.841,3.58,1.462,,0.206,0,0.288,1.617,0.196,1.68
3.554,0.205,3.317,3.968,4369.1,0.008,4.443,0.311,2.405,2058.048,5.093,3.041,,0.18,0.231,0.057,2.286,3.274,2.318
0.067,2.913,0.173,0.194,1342.2,0.149,0.303,0.724,0.03,34.425,6.335,0.547,,0.035,0.094,0.976,0.025,0.442,0.474
16.16,0.859,0.004,2.083,932.9,0.085,0.888,0.001,1.721,800.699,2.78,0.439,,0.563,0.759,1.504,7.028,0.448,2.458
0.197,1.103,0.788,0.339,1077.8,0.153,1.093,0.388,2.211,3500.395,0,0.207,,2.674,1.157,1.581,0.005,1.428,0.64
19.117,2.352,0.074,5.565,2208.9,2.445,1.903,0.498,1.531,380.073,7.067,2.509,,4.506,4.506,2.374,0.162,1.01,0.019
0.243,3.234,1.733,2.517,4445.9,7.54,0.715,2.495,0.003,3891.814,11.858,1.04,,0.012,0.079,0.115,1.351,2.29,0.408
11.519,1.393,0.25,1.782,1301.1,3.777,0.279,0.675,0.012,68.283,0,0.004,,1.305,1.212,0.047,0.582,1.74,0.355
0,16.712,1.89,1.037,5842.6,1.871,0.025,0.131,1.629,355.792,32.601,0,,1.323,3.843,0.426,0.486,1.598,0.347
0.416,1.747,1.394,0.823,944.8,0.538,0.139,0.392,0.635,261.798,0.08,1.78,,0,0.305,0.456,0.645,1.434,0.039
0.221,1.373,0,0.68,1392.1,0.002,0.771,0.204,0.504,1760.513,4.287,1.467,,1.024,0,0.445,1.704,0.654,1.66
0.001,2.967,1.017,0.358,43.8,0.028,0.36,1.526,0.001,1383.315,1.72,0.046,,0.187,0.151,0.213,0.431,0.35,0.36
0.01,0.313,0.028,0.026,2184.3,1.11,0.042,0.361,1.431,2.693,3.254,1.35,,0.108,0.203,0.601,0.316,1.497,0.144
0.493,1.517,0,2.51,479.1,0.293,2.695,1.896,0.088,8192.485,2.85,0.558,,1.017,0.079,3.46,0.385,0.121,0.005
11.928,0.035,2.548,2.053,6037.8,0.004,0.459,0.081,0.305,794.811,5.536,6.191,,0.8,0.391,0.112,0.42,4.872,1.836
1.039,0.941,2.153,0.257,1537.8,0.004,2.15,1.6,3.114,178.157,3.798,3.101,,0.039,0.949,0.863,1.515,0.829,0.193
0.001,1.737,0.011,2.301,1536.3,1.205,1.264,0.516,0.005,440.952,0.002,0.033,,0.5,1.425,0.897,3.582,2.078,0.954
15.111,9.419,0.804,1.821,4306.9,0.122,3.721,0.026,7.615,1216.079,20.421,3.561,,0.476,0.69,0.014,0.061,1.411,1.431
4.205,5.533,0.383,3.313,983,0.173,0.095,0.016,0.562,3083.626,8.581,0.034,,2.744,0.037,0.684,3.202,0.131,0.005
0.005,0.001,0.011,0.116,4819.1,0.272,0.62,0.08,0.034,6.35,3.738,0.02,,2.915,0.874,1.754,0.624,4.068,0.004
0,4.101,0.01,4.773,4048.1,2.285,0.005,3.559,0.013,1.794,12.636,1.256,,0.057,0.991,0.833,3.065,1.883,1.16
0,8.355,0.077,2.608,1812.3,0.17,0.077,4.949,2.633,236.381,13.791,0.247,,0.001,1.384,0.155,0.521,0.315,0.071
3.36,0.822,0.237,0.08,574.3,0.427,1.94,0.034,0.064,141.324,0.013,1.617,,2.736,0.013,0.45,0.717,0.819,0.04
0.009,0.309,1.169,0.323,441,5.152,0.319,1.539,0.148,5242.136,0.012,0.077,,0.087,1.422,0.858,0.824,0.544,1.726
0,0.362,0.483,0.016,1195.8,0.785,0.439,1.375,1.302,2.853,0.204,2.119,,7.208,0.149,4.052,0.09,1.303,0.252
0.063,0.061,1.569,0.123,191,0.547,1.222,4.82,0.226,1481.138,0.03,1.44,,0.817,0.704,0.363,0.592,0.21,7.885
0.778,4.662,0.037,0.013,3481.6,0.427,0.076,0.123,1.065,1219.478,0.046,0.517,,0.625,0.527,0.389,0.044,4.887,0.288
0.003,0.223,4.405,0,4414.4,0.387,0.224,0.151,3.214,4188.048,5.214,0.424,,0.454,0.731,5.337,0.357,3.293,0.206
2.9,3.984,3.617,0.018,3058.2,0.023,0.792,0.014,0.114,43.453,0.031,1.366,,0.012,0.406,1.284,0.809,4.266,0.047
6.015,0.123,0.102,0.054,9808.3,0.264,1.241,0.024,1.624,1433.616,6.183,0.044,,0.547,0.766,0.146,0.171,8.702,0.934
0.037,9.08,0.138,0.769,6321.7,1.189,0.857,1.203,0.1,1858.559,0.144,0.278,,0.014,0.224,0.037,0.064,9.017,0.249
0.265,0.2,0.958,0.022,344.9,0.175,2.012,0.065,0.57,517.955,0.018,0.202,,0.124,0.643,0.769,0.694,0.412,2.709
0.008,2.206,0.188,2.152,1866.3,0.029,0.345,3.112,0.878,66.505,0.005,0.564,,0.755,0.39,1.747,1.137,2.548,0.243
0,0.516,2.082,1.286,2087.1,1.248,0.552,0.06,1.439,10.663,0.44,3.924,,0.008,0.399,0.784,0.766,2.22,1.98
0.86,6.27,2.488,1.466,7211.1,0.183,0.029,0.129,0.095,479.133,20.897,1.011,,0.26,0.023,1.037,0.295,3.526,0.77
0,0.011,1.764,0.015,2322.7,0.045,0.068,2.302,0.002,2493.108,1.606,0.038,,0.673,1.977,0.584,1.715,2.017,1.194
0.006,10.152,0.011,1.13,2934.7,2.25,2.167,0.345,0.108,1775.014,18.472,1.781,,0.045,0.28,0.023,0.271,0.687,0.122
0.114,7.352,0.337,0.173,78.7,0.002,0.674,1.364,0.826,451.006,4.443,1.999,,0.179,0.071,0.617,0.37,0.786,0.042
1.524,0.001,0.546,0.031,1868.6,0.494,3.817,0.02,0.72,11.233,1.557,2.224,,0.87,0.696,2.377,2.367,1.548,1.164
0.793,0.005,2.743,2.551,43.3,0.004,2.348,0.667,2.123,1.662,0.062,3.678,,0.87,0.381,2.059,0.001,0.03,1.265
0.141,3.71,3.465,1.116,2867,0.007,2.778,0.623,0.847,374.769,0.027,0.003,,0.249,0.146,0.217,1.331,3.993,4.092
5.418,0.078,2.015,0.035,3.8,0.154,0.003,0.282,0.059,5401.922,0.089,0.342,,1.524,1.526,0.005,0.51,0,0.063
0.064,0.059,3.775,0.154,6728.4,0.299,0.58,2.322,0.654,90.648,6.372,2.513,,0.165,0.006,9.186,1.559,5.379,2.191
1.072,0,2.948,1.595,91,5.294,0.396,0.004,1.562,238.835,0.078,1.054,,1.008,0.106,2.2,2.61,0.075,0.019
25.58,3.532,0.046,0.321,175.7,1.788,0.292,1.876,0.929,901.925,4.032,0.22,,0.563,0.086,0.209,2.169,0.003,0.083
0.001,0.257,0.103,0.165,1445.4,0.033,0.412,2.685,0.005,1867.677,2.289,0.773,,2.179,0.474,0.579,0.16,0.967,0.002
13.6,0.451,0.897,0.019,2546.5,3.909,8.196,2.897,0,90.241,4.026,0.753,,1.939,2.346,2.467,0.85,1.705,0.082
2.639,0.757,1.724,0.013,814.7,0.001,0.026,0.241,0.978,36.218,0.002,4.299,,0.032,0.859,0.537,0.009,1.058,0.462
2.061,0.107,1.153,0.003,388.3,0.455,0.267,0.098,4.921,699.293,0.705,0.444,,0.443,0.291,0.61,0.036,0.245,0.147
0.002,5.291,1.415,0.886,1865.2,0.018,2.099,0.994,1.263,156.836,10.354,0.505,,0.166,0.113,0.151,0.001,0.513,6.275
0.009,0.994,0.762,0.222,1025.7,1.191,0.003,0.006,1.319,352.49,0.001,0.845,,0.967,1.235,2.283,0.096,1.344,0.657
0.014,1.075,0.31,0.299,1063.1,0.002,1.044,0.003,1.71,347.744,0,0.007,,7.375,0.335,0.061,7.138,1.405,0.007
0.377,2.448,4.732,0.077,343.3,1.238,1.992,0.301,1.314,1710.833,0.703,1.821,,2.733,0.289,0.548,0.368,0.81,0.233
6.692,3.652,0.198,0.691,186.6,0.161,1.151,2.211,0.712,1527.821,1.63,0.114,,0.043,1.144,0.006,0.634,0.705,0.024
0.094,1.539,0.275,3.236,46,0.13,2.199,0.014,2.816,219.16,0.788,0.939,,0.818,0.648,1.495,0.315,0.235,0.111
0.033,2.596,0.04,0.131,340.9,2.012,0.032,2.072,0.684,11721.828,0.775,0.007,,1.016,0.092,0.04,0.431,0.826,0.565
0,1.578,0.079,0.635,1424.3,0.122,0.14,0.902,1.4,2615.696,0.001,0.73,,0.51,3.607,0.791,2.232,1.918,0.963
0.003,0.74,0.368,1.855,935,0.036,0.57,1.531,0.186,3545.024,0.013,0.228,,0.354,1.887,1.822,2.192,1.178,1.607
0.566,1.837,0.934,3.196,897.7,0.148,3.572,0.023,0.831,232.211,4.094,0.003,,0.378,0.809,0.376,0.383,0.306,0.027
0.011,0.309,0.019,0.409,441.8,0.25,0.069,0.017,0.035,89.4,0.012,2.025,,7.937,3.471,0.03,1.843,0.544,1.187
0.976,2.77,0.376,1.49,2243.2,1.441,0.077,0.315,0.881,68.554,0.013,0.884,,0.383,4.998,0.261,0.273,3.092,2.364
0.005,0.436,0.453,0.307,455.9,2.041,0.076,1.549,0.524,230.853,0.001,0.002,,1.102,0.022,0.304,0.005,0.596,2.1
2.931,0.876,0.052,3.89,1648.4,0.054,0.779,2.775,1.083,0.277,3.836,0.738,,3.663,2.805,0.182,1.783,0.919,0.026
0.131,0.219,0.201,0.037,8595.5,0.354,2.454,0.002,0.379,1.199,4.871,0.404,,0.004,0.489,0.902,0.315,7.806,0.069
10.269,3.462,1.132,0.019,1590.8,0.002,1.233,0.355,0.003,1282.492,7.521,1.534,,0.616,0.741,1.791,0.006,0.523,0.019
0.489,1.065,3.863,1.311,3425.2,1.142,0.11,0.002,0.179,4190.307,6.488,0.252,,6.462,0.322,4.232,0.006,2.118,0.777
0.084,2.206,0,0.024,128.8,2.028,0.613,2.078,0.184,2064.375,0.944,0.755,,0.128,1.192,1.775,3.034,0.454,0.9
0.021,3.694,0.004,0.11,197.1,1.995,0.227,0.072,0,84.191,1.627,2.947,,0.064,0.039,0.649,1.348,0.728,0.15
0.939,2.237,1.235,1.143,1088.8,0.194,0.293,0.41,1.135,1020.157,0.137,1.737,,0.256,2.66,1.097,1.161,1.698,2.46
0.028,0.408,0.003,0.384,532.9,2.071,1.886,3.001,0.081,620.674,0.009,0.007,,0.015,0.044,1.944,0.001,0.667,0.534
0.004,0.239,1.194,0.138,2602.1,1.52,0.022,3.808,2.822,133.537,3.47,1.813,,2.112,5.493,0.004,0.159,1.86,0.74
0.231,0.268,1.509,1.397,2044.4,0.176,0.717,0.649,0.007,439.322,0.68,0.901,,1.789,0.754,1.642,1.032,2.044,0.004
0.171,0.892,0.392,0.091,11074.7,3.016,0.345,0.822,0.05,28.572,4.604,0.838,,0.238,4.836,0.375,0.015,10.675,0.505
0.931,1.096,0.061,0.168,3367.7,1.848,1.551,0.175,1.356,1445.79,6.483,1.95,,1.337,8.583,0.004,0.142,2.067,7.267
0.229,0.316,0.112,0.936,69.3,0.026,1.365,1.654,0.273,2378.359,0.064,0.095,,0.8,0.021,1.342,0.001,0.138,3.135
4.793,1.46,0.75,0.419,6712.2,0.78,0.097,1.416,1.427,1255.343,11.292,4.663,,0.155,0.518,0.544,1.82,4.377,0.061
14.409,6.633,0.055,0.324,18.7,8.224,0.001,0.053,2.103,666.719,4.485,8.012,,0.26,0.101,0.217,0.111,0.524,0
0.001,0.23,0.2,0,368.4,0.569,1.268,1.746,1.492,258.141,0.015,2.163,,2.128,1.403,0.227,0.544,0.445,0
0.091,0.525,1.163,0.083,1430.4,1.551,0.003,1.406,5.59,103.778,0.19,0.064,,0.976,1.028,3.745,0.61,1.597,0.419
5.756,5.335,2.612,0.284,4283.7,1.408,1.399,1.129,0.013,244.553,14.85,0.415,,0.85,0.074,1.848,0.088,1.847,0.034
0.573,8.429,0.04,0.003,2131.7,0.093,0.857,0.881,0.026,417.718,14.64,0.606,,0.617,0.234,0.314,4.558,0.439,5.416
6.091,0.82,0.173,1.153,567.8,0.722,0.006,0.059,0.027,1907.937,0.013,1.507,,0.022,0.54,0.05,0.879,0.811,1.157
2.602,0.249,0.002,0.394,1138.9,0.087,2.132,0.322,2.817,49.453,0.268,5.147,,0.171,0.125,0.601,1.353,1.195,0.425
5.137,1.383,0.004,0.13,529.1,0.623,0.028,0.859,0.914,135.759,2.792,1.412,,0.271,2.631,0.082,0.874,0.154,2.143
0,3.532,0.116,2.352,1697.5,3.684,0.033,0.188,6.904,151.114,7.817,0.393,,0.161,5.997,1.127,0.464,0.573,0.086
0.426,1.21,2.613,0.148,170.7,1.434,1.307,1.624,0.437,174.622,0.346,0.051,,6.731,1.132,2.68,5.51,0.402,2.102
5.874,2.09,0.46,0.005,1784.4,0.484,2.224,0.093,0.064,292.513,0.004,0.677,,0.45,2.573,0.034,0.468,2.431,1.388
3.122,16.061,6.236,0.154,2952.7,0.32,0.002,0.166,0.227,1041.554,25.169,0.644,,0.529,0.28,0.362,0.003,0.413,0.845
0.113,0.282,2.884,0.003,1009.9,7.535,0.157,0,2.686,3086.408,1.842,3.384,,0.44,0.072,0.416,2.58,0.635,0.147
0.001,2.488,0.005,4.047,791.2,0.962,1,1.565,0.006,1866.001,0.335,4.081,,0.373,0.378,0.066,4.163,1.395,1.021
13.945,0.211,0.102,0.108,3083.4,0.839,0.825,6.213,1.9,901.443,3.861,0.591,,0.001,0.689,0.39,0.004,2.254,0.942
5.693,2.741,0.338,1.463,0.8,0.196,0.139,0.033,0.008,3335.283,2.002,0.144,,0.188,2.75,0.113,0.15,0.168,1.007
0.001,2.681,0.099,0.405,2195.7,3.566,2.492,0.082,1.054,1534.815,0.011,0.562,,0,0.001,0.19,1.195,3.019,0.952
15.258,6.408,3.871,0.307,1228.7,0.346,0.298,0.911,0.83,1006.61,10.173,0.029,,3.667,0.002,2.088,1.55,0.182,3.318
0,3.22,0.048,3.564,2555.9,7.804,1.798,0.118,1.129,466.013,0.018,0.024,,0.275,0.361,0.003,0.596,3.539,1.071
5.436,0.429,0,0.015,279.5,1.905,1.556,1.005,0.098,283.649,0.01,6.022,,0.59,5.454,0.23,1.121,0.405,0.119
1.604,1.885,0.225,0.703,1656.7,0.12,1.372,0.449,0.281,2254.267,0.002,0.052,,0.511,0.254,7.472,0.043,2.244,0.293
7.038,0.731,3.089,0.123,2968.6,0.172,4.057,0.039,0.616,788.29,5.197,0,,0.34,0.08,0.813,2.969,1.903,0.246
0.363,7.088,0.261,0.172,11376.7,0.522,0.331,5.158,0.189,66.596,28.324,1.03,,0.016,1.267,0.567,0.52,6.104,0.354
0.001,0.502,0.66,0.064,1720.5,0.429,0.761,3.594,2.496,0.056,0.306,1.238,,0.107,0.465,0.042,0.041,1.866,4.404
2.478,7.787,5.757,1.519,88.1,0.231,0.133,1.147,0.03,573.319,4.674,0.115,,2.792,0.004,0.002,0.033,0.846,3.222
0.603,8.613,1.082,1.161,21.4,2.194,0.055,1.704,0.36,296.952,7.195,2.128,,0,0.097,4.481,1.12,0.3,0.038
0.754,2.835,0.479,0.693,2298.1,0.665,0.06,2.266,0.173,57.874,0.013,0.077,,0.002,0.101,0.901,0.009,3.167,0.701
0.316,0.061,0.264,0.462,1499,0.599,0.088,0.015,1.971,1255.209,1.706,6.657,,0.006,0.137,0.427,0.066,1.132,0.82
0,8.616,0.05,0.1,2658.2,0.75,0.054,1.673,0.413,200.635,16.048,0.774,,0.2,0.257,0.416,1.748,0.658,1.207
0.011,1.468,1.204,2.685,1343.4,1.453,0.658,0.07,0.015,2170.326,0,0.98,,0.009,0.425,0.005,1.938,1.804,1.754
6.492,0.195,1.733,1.608,23.9,1.675,0.088,0.797,0.845,332.423,0.272,2.081,,1.244,6.681,2.904,0.124,0.002,0.104
0.017,2.218,3.227,0.004,1202.4,2.982,0.418,0,0.983,8251.385,5.165,0.077,,0.002,4.752,1.283,0.027,0.433,0.016
0.954,0.131,0.002,0.632,42.7,0.02,0.033,0.394,1.83,948.671,0.249,0.054,,0.195,2.32,0.382,9.221,0.011,4.359
1.683,0.135,0.523,0.199,3743.4,0.881,0.339,0.655,0.33,232.882,1.975,0.007,,5.948,0.191,1.162,0.435,3.45,0.333
0.001,9.717,2.542,0.899,6724.4,0.672,1.741,2.524,0.123,2173.057,0.159,0.378,,0.171,0.007,1.248,0.112,9.605,0.935
9.032,2.763,2.997,1.099,1173,0.016,0.727,0.003,0.011,1148.007,0.23,1.434,,1.329,0.747,2.065,1.611,1.899,0.735
0.364,0.019,0.051,0.074,694.7,0.861,0.044,0.302,0.005,5477.138,0.389,0.969,,0.023,0.029,0.627,0,0.633,1.259
0.271,1.258,0.004,1.074,9928.6,0.051,1.141,0.024,7.962,579.348,3.362,0.003,,1.015,0.296,0.707,0.084,9.901,0.018
0.757,0.615,0.133,0.025,3834.7,0.093,0.223,1.664,0.086,480.607,5.895,1.973,,1.993,1.694,0,0.658,2.596,0.938
0.03,0.296,0.014,2.149,903.6,1.266,0.012,0,0.649,198.61,0.14,0.102,,0.145,0.106,0.553,0.04,0.994,0.41
0.888,5.492,0.599,0.475,3768.1,0.132,2.176,0.021,4.967,55.449,0.095,0.993,,1.282,0.149,0.009,0.974,5.393,1.025
0,1.924,1.31,3.907,759.7,1.184,0.347,0.01,0.052,190.244,0.184,0.052,,0.271,0.488,1.692,0.112,1.256,0
2.182,0.395,0.727,1.83,25.5,0.101,0.268,2.166,5.436,43.497,0.474,0.394,,2.469,2.12,0.442,0.516,0,0
1.347,1.7,0.179,1.186,399.1,0.045,2.227,1.254,3.015,18.102,2.879,0.3,,0.025,0.013,0.528,0.041,0.076,2.727
0.712,1.151,2.044,0.479,1844.3,0.061,0.013,0.711,0.018,41.744,4.594,0.122,,0.597,1.149,0.024,2.108,0.989,0.071
0,2.155,1.035,3.036,157.4,0.015,2.882,0.091,1.849,260.461,0.852,1.436,,1.102,0.289,3.302,0.225,0.496,0
0.004,0.55,0.244,0.792,1137,0.34,3.121,0.038,1.033,263.165,0.094,0.016,,0.015,0.015,4.605,5.075,1.32,1.04
0,0.956,0.143,0.278,240.5,0.166,0.083,0.003,1.353,1403.306,0.171,1.962,,0.087,0.131,1.097,0.001,0.457,0.241
0.005,2.054,1.166,1.649,1749.3,0.168,0.701,0.726,0.442,171.492,0.005,2.334,,0.317,0.43,0.022,0.24,2.385,0.975
0.001,5.11,0.058,0.244,78.7,5.679,0.007,0.334,2.716,2262.76,2.943,1.398,,0.012,0.01,0.113,0.654,0.612,0.535
1.061,1.001,4.283,0.089,5821.7,0.853,1.562,1.284,0.992,20.669,9.125,3.368,,1.932,2.01,0.236,1.435,3.91,0.418
14.728,9.385,0.193,0.267,2681.9,0.477,0.002,0.125,0,1389.544,17.006,0.488,,0.066,0,1.264,0,0.621,0.698
0,2.004,0.028,1.521,761.9,0.073,0.652,0.066,0.157,879.869,4.037,0.021,,0.515,0.531,0.131,1.69,0.221,1.485
5.88,0.498,0.804,1.808,2394.9,0.019,0.047,5.14,0.001,3404.942,0.587,2.864,,2.665,0.009,0.208,0.688,2.5,0.011
